costruzionisrl.it;{"domainName":"costruzionisrl.it","expirationDate":"2033-06-21","registrationDate":"2024-06-22","userEmail":"samper@gmail.com"}
avvocati.it;{"domainName":"avvocati.it","expirationDate":"2032-06-21","registrationDate":"2024-06-22","userEmail":"samper@gmail.com"}
pippoblog.it;{"domainName":"pippoblog.it","expirationDate":"2017-06-21","registrationDate":"2015-06-22","userEmail":"pippo@gmail.com"}
samper@gmail.com;{"email":"samper@gmail.com","name":"Samuele","surname":"Perotti"}
pippo@gmail.com;{"email":"pippo@gmail.com","name":"Pippo","surname":"Pappo"}
pluto@gmail.com;{"email":"pluto@gmail.com","name":"Pluto","surname":"Pluppi"}
samper@gmail.com-1719087105485;{"domain":"costruzionisrl.it","id":"samper@gmail.com-1719087105485","orderDate":"2024-06-22","paid":21.0,"registration":true,"userEmail":"samper@gmail.com"}
samper@gmail.com-1719087284532;{"domain":"avvocati.it","id":"samper@gmail.com-1719087284532","orderDate":"2024-06-22","paid":19.0,"registration":true,"userEmail":"samper@gmail.com"}
pippo@gmail.com-1719087477438;{"domain":"pippoblog.it","id":"pippo@gmail.com-1719087477438","orderDate":"2015-06-22","paid":15.0,"registration":true,"userEmail":"pippo@gmail.com"}
samper@gmail.com-1719087629084;{"domain":"costruzionisrl.it","id":"samper@gmail.com-1719087629084","orderDate":"2024-06-22","paid":22.0,"registration":false,"userEmail":"samper@gmail.com"}
